Account: EVERYDAY CHECKING ...4412
Statement range: 07/01/2024 - 09/18/2026
Posting Date,Description,Amount,Type,Balance
04/30/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2309.78,CREDIT,8626.16
05/01/2025,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1850.00,DEBIT,6776.16
05/04/2025,VENMO PAYMENT 10239988,-30.95,DEBIT,6745.21
05/06/2025,VENMO PAYMENT 10239988,-17.24,DEBIT,6727.97
05/06/2025,ATM WITHDRAWAL 1200 MARKET ST,-40.00,DEBIT,6687.97
05/07/2025,ATM WITHDRAWAL 1200 MARKET ST,-40.00,DEBIT,6647.97
05/09/2025,VENMO PAYMENT 10239988,-13.16,DEBIT,6634.81
05/12/2025,CITY POWER & LIGHT ELECTRIC BILL PAY,-92.45,DEBIT,6542.36
05/15/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2298.50,CREDIT,8840.86
05/16/2025,UPWORK GLOBAL INC DIR DEP,617.39,CREDIT,9458.25
05/16/2025,ONLINE TRANSFER TO SAVINGS XXXXXX4412,-300.00,DEBIT,9158.25
05/18/2025,COMCAST XFINITY INTERNET,-79.99,DEBIT,9078.26
05/21/2025,VENMO CASHOUT,18.91,CREDIT,9097.17
05/22/2025,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,9093.67
05/22/2025,ATM WITHDRAWAL 1200 MARKET ST,-40.00,DEBIT,9053.67
05/22/2025,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,8968.67
05/25/2025,AMEX EPAYMENT ACH PMT,-1229.83,DEBIT,7738.84
05/27/2025,ATM WITHDRAWAL 1200 MARKET ST,-40.00,DEBIT,7698.84
05/30/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2296.02,CREDIT,9994.86
05/31/2025,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,9991.36
05/31/2025,ATM WITHDRAWAL 1200 MARKET ST,-40.00,DEBIT,9951.36
06/01/2025,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1850.00,DEBIT,8101.36
06/11/2025,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,8097.86
06/11/2025,ATM WITHDRAWAL 1200 MARKET ST,-40.00,DEBIT,8057.86
06/12/2025,CITY POWER & LIGHT ELECTRIC BILL PAY,-140.84,DEBIT,7917.02
06/13/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2301.38,CREDIT,10218.40
06/16/2025,ONLINE TRANSFER TO SAVINGS XXXXXX4412,-300.00,DEBIT,9918.40
06/18/2025,COMCAST XFINITY INTERNET,-79.99,DEBIT,9838.41
06/22/2025,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,9753.41
06/25/2025,AMEX EPAYMENT ACH PMT,-1945.39,DEBIT,7808.02
06/27/2025,VENMO PAYMENT 10239988,-62.89,DEBIT,7745.13
06/29/2025,VENMO CASHOUT,45.32,CREDIT,7790.45
06/30/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2314.41,CREDIT,10104.86
07/01/2025,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1850.00,DEBIT,8254.86
07/06/2025,VENMO PAYMENT 10239988,-39.84,DEBIT,8215.02
07/12/2025,CITY POWER & LIGHT ELECTRIC BILL PAY,-226.92,DEBIT,7988.10
07/15/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2304.55,CREDIT,10292.65
07/16/2025,ONLINE TRANSFER TO SAVINGS XXXXXX4412,-300.00,DEBIT,9992.65
07/18/2025,COMCAST XFINITY INTERNET,-79.99,DEBIT,9912.66
07/21/2025,VENMO PAYMENT 10239988,-26.20,DEBIT,9886.46
07/22/2025,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,9801.46
07/23/2025,UPWORK GLOBAL INC DIR DEP,333.11,CREDIT,10134.57
07/25/2025,AMEX EPAYMENT ACH PMT,-1302.38,DEBIT,8832.19
07/27/2025,VENMO PAYMENT 10239988,-45.86,DEBIT,8786.33
07/31/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2309.99,CREDIT,11096.32
08/01/2025,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,11092.82
08/01/2025,ATM WITHDRAWAL 1200 MARKET ST,-40.00,DEBIT,11052.82
08/01/2025,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1975.00,DEBIT,9077.82
08/02/2025,VENMO PAYMENT 10239988,-44.93,DEBIT,9032.89
08/09/2025,GEICO INSURANCE PREMIUM,-655.80,DEBIT,8377.09
08/11/2025,VENMO PAYMENT 10239988,-18.26,DEBIT,8358.83
08/12/2025,CITY POWER & LIGHT ELECTRIC BILL PAY,-215.34,DEBIT,8143.49
08/15/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2300.61,CREDIT,10444.10
08/16/2025,ONLINE TRANSFER TO SAVINGS XXXXXX4412,-300.00,DEBIT,10144.10
08/18/2025,COMCAST XFINITY INTERNET,-79.99,DEBIT,10064.11
08/19/2025,VENMO CASHOUT,50.46,CREDIT,10114.57
08/22/2025,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,10029.57
08/25/2025,AMEX EPAYMENT ACH PMT,-2125.50,DEBIT,7904.07
08/26/2025,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,7900.57
08/26/2025,ATM WITHDRAWAL 1200 MARKET ST,-100.00,DEBIT,7800.57
08/29/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2302.50,CREDIT,10103.07
09/01/2025,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1975.00,DEBIT,8128.07
09/04/2025,VENMO PAYMENT 10239988,-41.74,DEBIT,8086.33
09/10/2025,ATM WITHDRAWAL 1200 MARKET ST,-40.00,DEBIT,8046.33
09/12/2025,CITY POWER & LIGHT ELECTRIC BILL PAY,-131.28,DEBIT,7915.05
09/15/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2290.70,CREDIT,10205.75
09/16/2025,ONLINE TRANSFER TO SAVINGS XXXXXX4412,-300.00,DEBIT,9905.75
09/18/2025,COMCAST XFINITY INTERNET,-79.99,DEBIT,9825.76
09/20/2025,UPWORK GLOBAL INC DIR DEP,761.94,CREDIT,10587.70
09/22/2025,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,10502.70
09/24/2025,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,10499.20
09/24/2025,ATM WITHDRAWAL 1200 MARKET ST,-60.00,DEBIT,10439.20
09/25/2025,AMEX EPAYMENT ACH PMT,-2289.09,DEBIT,8150.11
09/26/2025,VENMO PAYMENT 10239988,-28.72,DEBIT,8121.39
09/30/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2288.81,CREDIT,10410.20
10/01/2025,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1975.00,DEBIT,8435.20
10/02/2025,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,8431.70
10/02/2025,VENMO PAYMENT 10239988,-17.11,DEBIT,8414.59
10/02/2025,ATM WITHDRAWAL 1200 MARKET ST,-120.00,DEBIT,8294.59
10/05/2025,VENMO PAYMENT 10239988,-68.28,DEBIT,8226.31
10/12/2025,CITY POWER & LIGHT ELECTRIC BILL PAY,-79.12,DEBIT,8147.19
10/14/2025,VENMO PAYMENT 10239988,-15.68,DEBIT,8131.51
10/15/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2302.32,CREDIT,10433.83
10/16/2025,ONLINE TRANSFER TO SAVINGS XXXXXX4412,-300.00,DEBIT,10133.83
10/17/2025,ATM WITHDRAWAL 1200 MARKET ST,-100.00,DEBIT,10033.83
10/18/2025,COMCAST XFINITY INTERNET,-79.99,DEBIT,9953.84
10/19/2025,UPWORK GLOBAL INC DIR DEP,286.45,CREDIT,10240.29
10/21/2025,ATM WITHDRAWAL 1200 MARKET ST,-120.00,DEBIT,10120.29
10/22/2025,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,10035.29
10/25/2025,AMEX EPAYMENT ACH PMT,-1619.73,DEBIT,8415.56
10/31/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2302.46,CREDIT,10718.02
11/01/2025,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1975.00,DEBIT,8743.02
11/03/2025,VENMO PAYMENT 10239988,-34.84,DEBIT,8708.18
11/05/2025,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,8704.68
11/05/2025,ATM WITHDRAWAL 1200 MARKET ST,-60.00,DEBIT,8644.68
11/12/2025,CITY POWER & LIGHT ELECTRIC BILL PAY,-93.68,DEBIT,8551.00
11/14/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2305.84,CREDIT,10856.84
11/15/2025,VENMO PAYMENT 10239988,-68.04,DEBIT,10788.80
11/16/2025,ONLINE TRANSFER TO SAVINGS XXXXXX4412,-300.00,DEBIT,10488.80
11/18/2025,COMCAST XFINITY INTERNET,-89.99,DEBIT,10398.81
11/22/2025,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,10313.81
11/25/2025,AMEX EPAYMENT ACH PMT,-2295.86,DEBIT,8017.95
11/28/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2301.89,CREDIT,10319.84
11/29/2025,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,10316.34
11/29/2025,VENMO PAYMENT 10239988,-53.09,DEBIT,10263.25
11/29/2025,ATM WITHDRAWAL 1200 MARKET ST,-80.00,DEBIT,10183.25
11/30/2025,VENMO PAYMENT 10239988,-14.07,DEBIT,10169.18
11/30/2025,VENMO PAYMENT 10239988,-49.41,DEBIT,10119.77
12/01/2025,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1975.00,DEBIT,8144.77
12/04/2025,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,8141.27
12/04/2025,ATM WITHDRAWAL 1200 MARKET ST,-60.00,DEBIT,8081.27
12/07/2025,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,8077.77
12/07/2025,ATM WITHDRAWAL 1200 MARKET ST,-60.00,DEBIT,8017.77
12/09/2025,UPWORK GLOBAL INC DIR DEP,566.19,CREDIT,8583.96
12/11/2025,VENMO CASHOUT,43.73,CREDIT,8627.69
12/12/2025,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,8624.19
12/12/2025,CITY POWER & LIGHT ELECTRIC BILL PAY,-104.58,DEBIT,8519.61
12/12/2025,ATM WITHDRAWAL 1200 MARKET ST,-120.00,DEBIT,8399.61
12/15/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2295.89,CREDIT,10695.50
12/16/2025,ONLINE TRANSFER TO SAVINGS XXXXXX4412,-300.00,DEBIT,10395.50
12/17/2025,VENMO PAYMENT 10239988,-13.34,DEBIT,10382.16
12/18/2025,COMCAST XFINITY INTERNET,-89.99,DEBIT,10292.17
12/22/2025,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,10207.17
12/24/2025,ATM WITHDRAWAL 1200 MARKET ST,-40.00,DEBIT,10167.17
12/25/2025,AMEX EPAYMENT ACH PMT,-3193.89,DEBIT,6973.28
12/31/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2294.80,CREDIT,9268.08
12/31/2025,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,9264.58
12/31/2025,ATM WITHDRAWAL 1200 MARKET ST,-40.00,DEBIT,9224.58
01/01/2026,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1975.00,DEBIT,7249.58
01/03/2026,ATM WITHDRAWAL 1200 MARKET ST,-60.00,DEBIT,7189.58
01/05/2026,VENMO PAYMENT 10239988,-47.03,DEBIT,7142.55
01/05/2026,VENMO PAYMENT 10239988,-80.84,DEBIT,7061.71
01/06/2026,VENMO PAYMENT 10239988,-44.79,DEBIT,7016.92
01/07/2026,ATM WITHDRAWAL 1200 MARKET ST,-120.00,DEBIT,6896.92
01/12/2026,CITY POWER & LIGHT ELECTRIC BILL PAY,-144.02,DEBIT,6752.90
01/15/2026,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2300.07,CREDIT,9052.97
01/16/2026,ONLINE TRANSFER TO SAVINGS XXXXXX4412,-300.00,DEBIT,8752.97
01/18/2026,UPWORK GLOBAL INC DIR DEP,738.54,CREDIT,9491.51
01/18/2026,VENMO PAYMENT 10239988,-26.66,DEBIT,9464.85
01/18/2026,COMCAST XFINITY INTERNET,-89.99,DEBIT,9374.86
01/22/2026,VENMO CASHOUT,17.18,CREDIT,9392.04
01/22/2026,ATM WITHDRAWAL 1200 MARKET ST,-80.00,DEBIT,9312.04
01/22/2026,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,9227.04
01/25/2026,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,9223.54
01/25/2026,ATM WITHDRAWAL 1200 MARKET ST,-100.00,DEBIT,9123.54
01/25/2026,AMEX EPAYMENT ACH PMT,-2845.67,DEBIT,6277.87
01/27/2026,VENMO PAYMENT 10239988,-52.61,DEBIT,6225.26
01/30/2026,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2310.84,CREDIT,8536.10
01/30/2026,VENMO PAYMENT 10239988,-40.80,DEBIT,8495.30
02/01/2026,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1975.00,DEBIT,6520.30
02/04/2026,VENMO PAYMENT 10239988,-26.15,DEBIT,6494.15
02/04/2026,VENMO PAYMENT 10239988,-58.56,DEBIT,6435.59
02/06/2026,ATM WITHDRAWAL 1200 MARKET ST,-40.00,DEBIT,6395.59
02/09/2026,GEICO INSURANCE PREMIUM,-655.80,DEBIT,5739.79
02/12/2026,CITY POWER & LIGHT ELECTRIC BILL PAY,-164.73,DEBIT,5575.06
02/13/2026,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2294.93,CREDIT,7869.99
02/14/2026,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,7866.49
02/14/2026,ATM WITHDRAWAL 1200 MARKET ST,-40.00,DEBIT,7826.49
02/16/2026,ONLINE TRANSFER TO SAVINGS XXXXXX4412,-300.00,DEBIT,7526.49
02/18/2026,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,7522.99
02/18/2026,ATM WITHDRAWAL 1200 MARKET ST,-80.00,DEBIT,7442.99
02/18/2026,COMCAST XFINITY INTERNET,-89.99,DEBIT,7353.00
02/22/2026,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,7268.00
02/23/2026,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,7264.50
02/23/2026,ATM WITHDRAWAL 1200 MARKET ST,-120.00,DEBIT,7144.50
02/25/2026,AMEX EPAYMENT ACH PMT,-2058.52,DEBIT,5085.98
02/27/2026,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2300.26,CREDIT,7386.24
03/01/2026,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1975.00,DEBIT,5411.24
03/09/2026,VENMO CASHOUT,59.33,CREDIT,5470.57
03/10/2026,VENMO PAYMENT 10239988,-17.35,DEBIT,5453.22
03/12/2026,CITY POWER & LIGHT ELECTRIC BILL PAY,-125.62,DEBIT,5327.60
03/13/2026,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2299.45,CREDIT,7627.05
03/14/2026,VENMO PAYMENT 10239988,-46.92,DEBIT,7580.13
03/16/2026,VENMO PAYMENT 10239988,-13.37,DEBIT,7566.76
03/18/2026,VENMO PAYMENT 10239988,-76.78,DEBIT,7489.98
03/18/2026,COMCAST XFINITY INTERNET,-89.99,DEBIT,7399.99
03/21/2026,VENMO PAYMENT 10239988,-78.16,DEBIT,7321.83
03/22/2026,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,7236.83
03/24/2026,VENMO PAYMENT 10239988,-60.22,DEBIT,7176.61
03/25/2026,AMEX EPAYMENT ACH PMT,-2158.10,DEBIT,5018.51
